Distance,SEM_norm,I_raw,abs_I,ln_abs_I,deriv_ln_I,Voltage_V,Resistance_Ohm
2.205188e+01,3.494228e-02,-1.064762e+05,1.064762e+05,1.157568e+01,-1.045149e-03,-5.957654e+00,5.595292e+04
2.217044e+01,2.598761e-02,-1.064790e+05,1.064790e+05,1.157570e+01,-2.552435e-03,-5.957992e+00,5.595463e+04
2.228900e+01,2.946795e-02,-1.063768e+05,1.063768e+05,1.157474e+01,-3.028325e-03,-5.957861e+00,5.600714e+04
2.240755e+01,2.985567e-02,-1.062258e+05,1.062258e+05,1.157332e+01,-2.785982e-03,-5.957846e+00,5.608663e+04
2.252611e+01,3.359005e-02,-1.061714e+05,1.061714e+05,1.157281e+01,-1.486770e-03,-5.957705e+00,5.611403e+04
2.264467e+01,4.000928e-02,-1.060860e+05,1.060860e+05,1.157200e+01,-2.265894e-06,-5.957463e+00,5.615694e+04
2.276323e+01,4.185995e-02,-1.062206e+05,1.062206e+05,1.157327e+01,1.283302e-03,-5.957393e+00,5.608510e+04
2.288179e+01,4.026213e-02,-1.063301e+05,1.063301e+05,1.157430e+01,2.099204e-03,-5.957453e+00,5.602792e+04
2.300035e+01,4.035292e-02,-1.064197e+05,1.064197e+05,1.157515e+01,2.542086e-03,-5.957450e+00,5.598069e+04
2.311891e+01,3.419228e-02,-1.063818e+05,1.063818e+05,1.157479e+01,2.196302e-03,-5.957682e+00,5.600283e+04
2.323746e+01,3.368229e-02,-1.063171e+05,1.063171e+05,1.157418e+01,2.274547e-04,-5.957701e+00,5.603709e+04
2.335602e+01,4.586566e-02,-1.063155e+05,1.063155e+05,1.157417e+01,-1.853724e-03,-5.957241e+00,5.603363e+04
2.347458e+01,4.383025e-02,-1.064185e+05,1.064185e+05,1.157513e+01,-2.925080e-03,-5.957318e+00,5.598012e+04
2.359314e+01,4.282534e-02,-1.063855e+05,1.063855e+05,1.157482e+01,-2.894343e-03,-5.957356e+00,5.599780e+04
2.371170e+01,3.478702e-02,-1.062392e+05,1.062392e+05,1.157345e+01,-2.262845e-03,-5.957660e+00,5.607778e+04
2.383026e+01,3.143207e-02,-1.060880e+05,1.060880e+05,1.157202e+01,-1.048771e-03,-5.957786e+00,5.615890e+04
2.394882e+01,3.448160e-02,-1.061088e+05,1.061088e+05,1.157222e+01,3.947800e-04,-5.957671e+00,5.614682e+04
2.406737e+01,3.512253e-02,-1.061497e+05,1.061497e+05,1.157261e+01,2.361554e-03,-5.957647e+00,5.612494e+04
2.418593e+01,4.091045e-02,-1.062430e+05,1.062430e+05,1.157348e+01,3.555089e-03,-5.957428e+00,5.607359e+04
2.430449e+01,4.990240e-02,-1.063994e+05,1.063994e+05,1.157495e+01,3.455379e-03,-5.957089e+00,5.598802e+04
