Distance,SEM_norm,I_raw,abs_I,ln_abs_I,deriv_ln_I,Voltage_V,Resistance_Ohm
1.636737e+01,8.374217e-01,1.808573e+05,1.808573e+05,1.210546e+01,1.237311e-03,6.078499e+00,3.360937e+04
1.648597e+01,8.328023e-01,1.808495e+05,1.808495e+05,1.210542e+01,4.620791e-04,6.078322e+00,3.360983e+04
1.660458e+01,8.361514e-01,1.807347e+05,1.807347e+05,1.210479e+01,-3.744917e-04,6.078450e+00,3.363189e+04
1.672318e+01,8.252742e-01,1.807207e+05,1.807207e+05,1.210471e+01,-8.441271e-04,6.078034e+00,3.363220e+04
1.684178e+01,8.215313e-01,1.808515e+05,1.808515e+05,1.210543e+01,-1.159879e-03,6.077891e+00,3.360708e+04
1.696039e+01,8.158244e-01,1.807121e+05,1.807121e+05,1.210466e+01,-8.423376e-04,6.077673e+00,3.363180e+04
1.707899e+01,8.097541e-01,1.807136e+05,1.807136e+05,1.210467e+01,-4.117067e-04,6.077440e+00,3.363024e+04
1.719760e+01,8.022583e-01,1.807055e+05,1.807055e+05,1.210462e+01,-8.546157e-06,6.077154e+00,3.363015e+04
1.731620e+01,7.937846e-01,1.806051e+05,1.806051e+05,1.210407e+01,1.092936e-05,6.076829e+00,3.364706e+04
1.743480e+01,7.777676e-01,1.807180e+05,1.807180e+05,1.210469e+01,4.329628e-04,6.076217e+00,3.362264e+04
1.755341e+01,8.059037e-01,1.807292e+05,1.807292e+05,1.210476e+01,5.110116e-04,6.077293e+00,3.362651e+04
1.767201e+01,8.116439e-01,1.808338e+05,1.808338e+05,1.210533e+01,5.950810e-04,6.077513e+00,3.360827e+04
1.779062e+01,7.956777e-01,1.807527e+05,1.807527e+05,1.210489e+01,9.046057e-04,6.076902e+00,3.361997e+04
1.790922e+01,7.991129e-01,1.807267e+05,1.807267e+05,1.210474e+01,2.992145e-04,6.077033e+00,3.362554e+04
1.802782e+01,7.827688e-01,1.807592e+05,1.807592e+05,1.210492e+01,3.252952e-04,6.076408e+00,3.361605e+04
1.814643e+01,7.781332e-01,1.807710e+05,1.807710e+05,1.210499e+01,-1.167190e-04,6.076231e+00,3.361286e+04
1.826503e+01,7.806185e-01,1.808680e+05,1.808680e+05,1.210552e+01,-3.393776e-05,6.076326e+00,3.359536e+04
1.838364e+01,7.917950e-01,1.807400e+05,1.807400e+05,1.210481e+01,-2.850491e-04,6.076753e+00,3.362152e+04
1.850224e+01,7.809944e-01,1.808355e+05,1.808355e+05,1.210534e+01,-5.822600e-04,6.076340e+00,3.360147e+04
1.862085e+01,7.857129e-01,1.807004e+05,1.807004e+05,1.210460e+01,-6.270673e-04,6.076521e+00,3.362761e+04
1.873945e+01,7.896758e-01,1.807312e+05,1.807312e+05,1.210477e+01,-5.834112e-04,6.076672e+00,3.362271e+04
