Distance,SEM_norm,I_raw,abs_I,ln_abs_I,deriv_ln_I
1.350323e+01,9.014277e-02,-6.407509e+04,6.407509e+04,1.106781e+01,-7.024852e-04
1.362065e+01,8.629644e-02,-6.410015e+04,6.410015e+04,1.106820e+01,9.470072e-04
1.373807e+01,8.662495e-02,-6.410088e+04,6.410088e+04,1.106821e+01,2.321366e-03
1.385549e+01,8.165942e-02,-6.414005e+04,6.414005e+04,1.106882e+01,2.545637e-03
1.397291e+01,7.558715e-02,-6.424710e+04,6.424710e+04,1.107049e+01,1.790049e-03
1.409033e+01,9.788918e-02,-6.422510e+04,6.422510e+04,1.107015e+01,-4.465150e-04
1.420775e+01,9.598735e-02,-6.423390e+04,6.423390e+04,1.107029e+01,-1.168388e-03
1.432517e+01,8.551465e-02,-6.422566e+04,6.422566e+04,1.107016e+01,-1.367552e-03
1.444259e+01,8.038642e-02,-6.409546e+04,6.409546e+04,1.106813e+01,-2.056001e-03
1.456001e+01,8.383721e-02,-6.401440e+04,6.401440e+04,1.106686e+01,-1.648517e-03
1.467743e+01,8.796260e-02,-6.413885e+04,6.413885e+04,1.106881e+01,-1.010899e-03
1.479484e+01,8.552447e-02,-6.420670e+04,6.420670e+04,1.106986e+01,-7.779099e-05
1.491226e+01,7.750326e-02,-6.412886e+04,6.412886e+04,1.106865e+01,9.187617e-04
1.502968e+01,8.138624e-02,-6.411617e+04,6.411617e+04,1.106845e+01,5.192822e-04
1.514710e+01,8.809216e-02,-6.413691e+04,6.413691e+04,1.106878e+01,-8.693508e-04
1.526452e+01,8.997124e-02,-6.413728e+04,6.413728e+04,1.106878e+01,-1.239470e-03
1.538194e+01,8.437599e-02,-6.413058e+04,6.413058e+04,1.106868e+01,-7.365780e-04
1.549936e+01,7.702039e-02,-6.411183e+04,6.411183e+04,1.106838e+01,-7.649645e-04
1.561678e+01,6.976585e-02,-6.410564e+04,6.410564e+04,1.106829e+01,-6.379375e-04
1.573420e+01,8.419904e-02,-6.408784e+04,6.408784e+04,1.106801e+01,-1.343128e-04
1.585162e+01,9.401213e-02,-6.408893e+04,6.408893e+04,1.106803e+01,3.693120e-04
1.596904e+01,8.206293e-02,-6.409673e+04,6.409673e+04,1.106815e+01,4.794226e-04
1.608646e+01,9.727714e-02,-6.412211e+04,6.412211e+04,1.106854e+01,-1.307746e-04
1.620388e+01,1.002012e-01,-6.414020e+04,6.414020e+04,1.106883e+01,3.820682e-05
1.632130e+01,8.541779e-02,-6.414056e+04,6.414056e+04,1.106883e+01,4.136515e-05
1.643872e+01,9.824795e-02,-6.410530e+04,6.410530e+04,1.106828e+01,6.287424e-05
1.655614e+01,9.974061e-02,-6.404113e+04,6.404113e+04,1.106728e+01,-6.667020e-05
1.667356e+01,1.066985e-01,-6.411913e+04,6.411913e+04,1.106850e+01,-2.915837e-04
1.679097e+01,1.016716e-01,-6.412603e+04,6.412603e+04,1.106861e+01,-1.120229e-03
1.690839e+01,8.788898e-02,-6.413629e+04,6.413629e+04,1.106877e+01,-1.675063e-03
1.702581e+01,9.174084e-02,-6.412131e+04,6.412131e+04,1.106853e+01,-2.124561e-03
1.714323e+01,8.849206e-02,-6.408497e+04,6.408497e+04,1.106797e+01,-2.979920e-03
1.726065e+01,9.366536e-02,-6.398503e+04,6.398503e+04,1.106640e+01,-2.411157e-03
1.737807e+01,9.251413e-02,-6.397669e+04,6.397669e+04,1.106627e+01,-8.156427e-04
1.749549e+01,9.610710e-02,-6.399162e+04,6.399162e+04,1.106651e+01,3.592227e-04
1.761291e+01,1.082059e-01,-6.399760e+04,6.399760e+04,1.106660e+01,5.312596e-04
1.773033e+01,9.672606e-02,-6.404989e+04,6.404989e+04,1.106742e+01,1.025620e-03
1.784775e+01,8.962196e-02,-6.413986e+04,6.413986e+04,1.106882e+01,1.564766e-03
1.796517e+01,1.015640e-01,-6.408300e+04,6.408300e+04,1.106793e+01,1.792667e-03
1.808259e+01,1.114597e-01,-6.397529e+04,6.397529e+04,1.106625e+01,1.500754e-03
1.820001e+01,1.100038e-01,-6.402050e+04,6.402050e+04,1.106696e+01,5.736785e-04
